AE_Gujarat_2012																																													
Assembly_No	Year	month	DelimID	Poll_No	District_Name	Sub_Region	Constituency_Name	Constituency_No	Constituency_Type	Candidate	Sex	Age	Party	Position	Candidate_Type	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Margin	Margin_Percentage	Turnout_Percentage	N_Cand	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	No_Terms	Turncoat	Incumbent	Recontest	Deposit_Lost	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second	TCPD_Prof_Second_Desc	Election_Type
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	ABDASA	1	GEN	CHHABILBHAI NARANBHAI PATEL	M	51	INC	1	GEN	60704	195191	143451	42.32	7613	5.31	73.49	8	2.94	FALSE	3	INC	3482	MANDVI	FALSE	TRUE	2	FALSE	FALSE	TRUE	no	AEGJ12745	National Party	3482	Graduate Professional	Business	Real Estate or Builder or Developer or Construction	Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	ABDASA	1	GEN	BHANUSHALI JAYANTILAL PARSOTTAM	M	48	BJP	2	GEN	53091	195191	143451	37.01	33460	23.33	73.49	8	2.94	FALSE	2	BJP	1605	ABDASA	TRUE	TRUE	1	FALSE	TRUE	TRUE	no	AEGJ11473	National Party	1605	8th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	MANDVI	2	GEN	CHHEDA TARACHAND JAGSHIBHAI	M	61	BJP	1	GEN	61984	193772	139492	44.44	8506	6.1	71.99	11	2.78	TRUE	3	BJP	1605	ABDASA	FALSE	TRUE	2	FALSE	FALSE	FALSE	no	AEGJ4914	National Party	1605	5th Pass	Business		Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	MANDVI	2	GEN	PARMAR KISHORSINH RAJENDRASINH	M	38	INC	2	GEN	53478	193772	139492	38.34	40758	29.22	71.99	11	2.78	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ12749	National Party	3482	Graduate	Agriculture		Education	School Teacher	State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	BHUJ	3	GEN	DR. NIMABEN AACHARYA	F	66	BJP	1	GEN	69174	223986	153950	44.93	8973	5.83	68.73	10	2.78	TRUE	5	BJP	1605	ANJAR	FALSE	TRUE	3	FALSE	TRUE	TRUE	no	AEGJ4952	National Party	1605	Post Graduate	Liberal Profession or Professional	Doctor			State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	BHUJ	3	GEN	AMIRALI HAJIHUSHEN LODHIYA	M	66	INC	2	GEN	60201	223986	153950	39.1	43947	28.55	68.73	10	2.78	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ12768	National Party	3482	Graduate Professional	Liberal Profession or Professional	Lawyer			State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	ANJAR	4	GEN	AHIR VASANBHAI GOPALBHAI	M	54	BJP	1	GEN	64789	191018	137376	47.16	4728	3.44	71.92	9	2.44	TRUE	4	BJP	1605	BHUJ	FALSE	TRUE	4	FALSE	TRUE	TRUE	no	AEGJ6853	National Party	1605	5th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	ANJAR	4	GEN	V.K. HUMBAL	M	56	INC	2	GEN	60061	191018	137376	43.72	56421	41.07	71.92	9	2.44	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ12773	National Party	3482	10th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	GANDHIDHAM	5	SC	MAHESHWARI RAMESH VACHCHHRAJ	M	44	BJP	1	SC	72988	225734	138363	52.75	21313	15.4	61.29	8	2.38	TRUE	2	BJP	1605	MUNDRA	FALSE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ12780	National Party	1605	8th Pass	Business		Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Kachchh	Saurashtra-Kutch	GANDHIDHAM	5	SC	CHAVADA JAYSHREEBEN AJITBHAI	F	48	INC	2	SC	51675	225734	138363	37.35	46889	33.89	61.29	8	2.38	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ12784	National Party	3482	5th Pass	Labourer or Daily Wage				State Assembly Election (AE)
