AE_Gujarat_2017																																						
Year	Assembly_No	District_Name	Sub_Region	Name	Type	Number	Candidate	Sex	Age	Party	Position	No_Terms	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Turnout_Percentage	Margin	Margin_Percentage	No of candidates	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	Turncoat	Incumbent	Recontest	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	JADEJA PRADHYUMANSINH MAHIPATSINH	M	53	INC	1	1	73312	223705	150261	48.79	67.17	9746	6.49	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ8	National Party	3482	Literate	Business	Transport	Agriculture
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	CHHABILBHAI NARANBHAI PATEL	M	56	BJP	2	2	63566	223705	150261	42.3	67.17	59444	39.56	11	2.38	FALSE	4	INC	3482	ABDASA	TRUE	FALSE	TRUE	FALSE	FALSE	AEGJ12745	National Party	1605	Graduate Professional	Business		Agriculture
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	RAJESH SHAMJI MAHESHWARI	M	33	BMUP	3	0	4122	223705	150261	2.74	67.17	871	0.58	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ60	Local Party	1074	10th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	None of the Above			NOTA	4		3251	223705	150261	2.16	67.17	1400	0.93	11	2.38	FALSE											NOTA	5897				
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	SONI KAUSHIKBHAI BABULAL	M	49	IND	5	0	1851	223705	150261	1.23	67.17	451	0.3	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ166	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	VAGHELA LAXMANBHAI KANJI	M	50	BSP	6	0	1400	223705	150261	0.93	67.17	667	0.44	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ3	State-based Party (Other State)	16651	5th Pass	Business	Contractor	
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	RAM MANGAL GADHAVI	M	35	IND	7	0	733	223705	150261	0.49	67.17	78	0.05	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ116	Independents	10809	12th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	DHARAMSHI SHARAD SHIVJI	M	56	IND	8	0	655	223705	150261	0.44	67.17	202	0.13	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ94	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	UMAR OSMAN SANGAR	M	37	IND	9	0	453	223705	150261	0.3	67.17	122	0.08	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ93	Independents	10809	10th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	ABDASA	GEN	1	KOLI SHANKARBHAI ALIBHAI	M	34	VPP	10	0	331	223705	150261	0.22	67.17	21	0.01	11	2.38	FALSE	1						FALSE	FALSE	FALSE	AEGJ32	Local Party	8518				
