AE_Gujarat_2012
Assembly_No,Year,month,DelimID,Poll_No,District_Name,Sub_Region,Constituency_Name,Constituency_No,Constituency_Type,Candidate,Sex,Age,Party,Position,Candidate_Type,Votes,Electors,Valid_Votes,Vote_Share_Percentage,Margin,Margin_Percentage,Turnout_Percentage,N_Cand,ENOP,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Deposit_Lost,pid,Party_Type_TCPD,Party_ID,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,CHHABILBHAI NARANBHAI PATEL,M,51,INC,1,GEN,60704,195191,143451,42.32,7613,5.31,73.49,8,2.94,FALSE,3,INC,3482,MANDVI,FALSE,TRUE,2,FALSE,FALSE,TRUE,no,AEGJ12745,National Party,3482,Graduate Professional,Business,Real Estate or Builder or Developer or Construction,Agriculture,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,BHANUSHALI JAYANTILAL PARSOTTAM,M,48,BJP,2,GEN,53091,195191,143451,37.01,33460,23.33,73.49,8,2.94,FALSE,2,BJP,1605,ABDASA,TRUE,TRUE,1,FALSE,TRUE,TRUE,no,AEGJ11473,National Party,1605,8th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,SODHA MAHESHOJI RANAJI,M,46,GPP,3,GEN,19631,195191,143451,13.68,14580,10.16,73.49,8,2.94,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12746,Local Party,3167,12th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,KER OSMAN LANA,M,46,IND,4,GEN,5051,195191,143451,3.52,2959,2.06,73.49,8,2.94,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12744,Independents,10809,5th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,GORADIYA DAYALAL HARJI,M,56,BSP,5,GEN,2092,195191,143451,1.46,970,0.68,73.49,8,2.94,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12742,State-based Party (Other State),16651,5th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,MANJOTHI ABDULSATAR ISHAK,M,42,LJP,6,GEN,1122,195191,143451,0.78,77,0.05,73.49,8,2.94,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12741,State-based Party (Other State),5029,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,MANDHRA HUSAIN HAJIMAMAD,M,42,RPI(A),7,GEN,1045,195191,143451,0.73,330,0.23,73.49,8,2.94,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12748,Local Party,12285,5th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ABDASA,1,GEN,AMRUTLAL LADHABHAI PATEL,M,60,JD(U),8,GEN,715,195191,143451,0.5,0,0,73.49,8,2.94,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12747,State-based Party (Other State),11002,8th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,CHHEDA TARACHAND JAGSHIBHAI,M,61,BJP,1,GEN,61984,193772,139492,44.44,8506,6.1,71.99,11,2.78,TRUE,3,BJP,1605,ABDASA,FALSE,TRUE,2,FALSE,FALSE,FALSE,no,AEGJ4914,National Party,1605,5th Pass,Business,,Agriculture,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,PARMAR KISHORSINH RAJENDRASINH,M,38,INC,2,GEN,53478,193772,139492,38.34,40758,29.22,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,no,AEGJ12749,National Party,3482,Graduate,Agriculture,,Education,School Teacher,State Assembly Election (AE)
