AE_Gujarat 2022
Assembly_No,month,District_Name,Sub_Region,Constituency,Type,Number,Candidate,Sex,Age,Party,Position,Votes,Electors,Valid_Votes,Vote_Share,Turnout_Percentage,Margin,Margin_Percentage,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,N_Cand,ENOP,pid,Deposit_Lost,Party_Type_TCPD,Party_ID,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,JADEJA PRADHYUMANSINH MAHIPATSINH,M,58,BJP,1,80195,253244,163172,49.15,64.43,9431,5.78,TRUE,3,BJP,,ABDASA,TRUE,TRUE,3,FALSE,TRUE,TRUE,10,2.33,AEGJ8,no,National Party,1605,Literate,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,JAT MAMAD JUNG,M,52,INC,2,70764,253244,163172,43.37,64.43,67262,41.22,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101235,no,National Party,3482,Literate,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,HAKUMATSINH JUVANSINH JADEJA,M,50,IND,3,3502,253244,163172,2.15,64.43,560,0.34,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101243,yes,Independents,10809,Graduate,Business,,Agriculture,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,NOTA,,,None of the Above,4,2942,253244,163172,1.8,64.43,1207,0.74,TRUE,,,,,,,,,,,10,2.33,,,,,,,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,MAMUBHAI MANDABHAI RABARI,M,32,IND,5,1735,253244,163172,1.06,64.43,31,0.02,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101240,yes,Independents,10809,8th Pass,Business,Transport,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,VASANTBHAI VALJI KHETANI,M,53,AAAP,6,1704,253244,163172,1.04,64.43,662,0.41,TRUE,2,REALDP,6905,ABDASA,TRUE,FALSE,0,TRUE,FALSE,FALSE,10,2.33,AEGJ33,yes,State-based Party (Other State),13,8th Pass,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,MEGHWAL NAGSHI KHAMUBHAI,M,74,BSP,7,1042,253244,163172,0.64,64.43,592,0.36,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101236,yes,State-based Party (Other State),16651,5th Pass,Retired or Pension,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,UTHAR RAZAK ALIMAMAD,M,33,IND,8,450,253244,163172,0.28,64.43,113,0.07,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101241,yes,Independents,10809,Graduate,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,BHANUSHALI SURESH MANJI MANGE,M,46,IND,9,337,253244,163172,0.21,64.43,33,0.02,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101242,yes,Independents,10809,8th Pass,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,K. D. JADEJA,M,35,Praja Vijay Paksh,10,304,253244,163172,0.19,64.43,107,0.07,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101237,yes,,25135,Graduate,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,ABDASA,GEN,1,JOSHI JAGDISHCHANDRA KAKULAL,M,59,SP,11,197,253244,163172,0.12,64.43,0,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10,2.33,AEGJ101238,yes,State-based Party (Other State),7425,10th Pass,Small Business or Self-employed,,Agriculture,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Aniruddha Bhailal Dave,M,54,BJP,1,90303,257422,169426,53.3,65.82,48297,28.51,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,8,2.78,AEGJ101244,no,National Party,1605,Post Graduate,Liberal Profession or Professional,Lawyer,Agriculture,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Rajendrasinh A. Jadeja,M,50,INC,2,42006,257422,169426,24.79,65.82,19215,11.34,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101246,no,National Party,3482,12th Pass,Business,,Agriculture,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Kailasdan K. Gadhvi,M,52,AAAP,3,22791,257422,169426,13.45,65.82,14297,8.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101247,yes,State-based Party (Other State),13,Graduate,Salaried Work or Employed,Accountant,,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Advocate Mahamadiqbal Manjaliya,M,41,AIMIM,4,8494,257422,169426,5.01,65.82,6067,3.58,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101248,yes,State-based Party (Other State),706,Graduate Professional,Liberal Profession or Professional,Lawyer,,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,NOTA,,,None of the Above,5,2427,257422,169426,1.43,65.82,581,0.34,TRUE,,,,,,,,,,,8,2.78,,,,,,,,,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Kishorbhai Dheda,M,40,BSP,6,1846,257422,169426,1.09,65.82,1183,0.7,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101245,yes,State-based Party (Other State),16651,10th Pass,Business,Agricultural Business,,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Sameja Abdulkarim Amad,M,47,IND,7,663,257422,169426,0.39,65.82,146,0.09,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101250,yes,Independents,10809,8th Pass,Labourer or Daily Wage,Truck Driver,,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Sangar Shivji Budhiya,M,55,IND,8,517,257422,169426,0.31,65.82,138,0.08,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101251,yes,Independents,10809,5th Pass,Agriculture,,,
14,12,Kachchh,Saurashtra-Kutch,MANDVI,GEN,2,Vachhiya Lakhmir Rabari,M,42,Praja Vijay Paksh,9,379,257422,169426,0.22,65.82,0,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8,2.78,AEGJ101249,yes,,25135,5th Pass,Agriculture,,,
